SYSTEMSTOP,OBJECTID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,STATUS,PUBLIC_NAM,Latitude,Longitude,Number,Street2,City,State,County,Zip
11953,193,92ND STREET,BALTIMORE,EB,NS,95,,1,92nd Street & Baltimore,41.72805,-87.548279,3101,E 92nd St,Chicago,IL,Cook County,60617
2723,194,79TH STREET,KILPATRICK (east leg),EB,NS,79,,1,79th Street & Kilpatrick,41.749006,-87.737367,7900,S Kilpatrick Ave,Chicago,IL,Cook County,60652
1307,195,FULLERTON,KILPATRICK,EB,NS,74,,1,Fullerton & Kilpatrick,41.92404,-87.744079,4701,W Fullerton Ave,Chicago,IL,Cook County,60639
6696,196,TAYLOR,THROOP,EB,NS,157,,1,Taylor & Throop,41.869206,-87.659363,1301,W Taylor St,Chicago,IL,Cook County,60607
22,197,JACKSON,KARLOV,EB,FS,126,,1,Jackson & Karlov,41.876857,-87.727636,4053,W Jackson Blvd,Chicago,IL,Cook County,60624
4767,198,FOSTER,MONTICELLO,EB,NS,92,,1,Foster & Monticello,41.975394,-87.719839,3635,W Foster Ave,Chicago,IL,Cook County,60625
6057,199,ASHLAND,CERMAK/BLUE ISLAND,SB,NS,"9,X9",N9,1,Ashland & Cermak/Blue Island,41.852595,-87.666426,1600,W Cermak Rd,Chicago,IL,Cook County,60608
1790,200,CLARK,ALBION,SB,NS,22,N22,1,Clark & Albion,42.001816,-87.67211,6600,N Clark St,Chicago,IL,Cook County,60626
1847,201,CLARK,BURTON,SB,NS,"22,36",N22,1,Clark & Burton,41.909273,-87.631433,1455,N Clark St,Chicago,IL,Cook County,60610
11474,202,RIDGE,BROADWAY/BRYN MAWR,NWB,FS,84,,1,Ridge & Broadway/Bryn Mawr,41.983873,-87.660732,5610,N Ridge Ave,Chicago,IL,Cook County,60660
1368,203,LINCOLN,BERWYN,SEB,NS,11,,1,Lincoln & Berwyn,41.977547,-87.692785,5258,N Lincoln Ave,Chicago,IL,Cook County,60625
11877,204,CALIFORNIA,DEVON,SB,NS,93,,1,California & Devon,41.99781,-87.699816,2800,W Devon Ave,Chicago,IL,Cook County,60659
