Zip,Location,Population,Income,Liquour_Per_Capita,311_Per_Capita,Pot_Hole_Per_Capita,Rat_Per_Capita
60601,"41.885805, -87.622911",5591,77374,0.142013951,0.216955822,0.015024146,0.001073153
60602,"41.883067, -87.629187",70,23750,2.971428571,7.228571429,0.171428571,0.128571429
60603,"41.880614, -87.629311",378,61815,1.076719577,1.222222222,0.08994709,0.013227513
60604,"41.878266, -87.626150",78,31250,2.294871795,4.384615385,0.307692308,0.115384615
60605,"41.857651, -87.615592",12423,56151,0.067214038,0.189728729,0.013040328,0.00796909
60606,"41.881988, -87.637329",2308,100377,0.160745234,0.399913345,0.008232236,0.005199307
60607,"41.874503, -87.651322",15552,40972,0.071051955,0.236496914,0.021669239,0.015946502
60608,"41.848647, -87.672320",92472,28026,0.005439484,0.145481876,0.011690025,0.007158924
60609,"41.812680, -87.656935",79469,25705,0.003410135,0.197737483,0.007524947,0.011476173
60610,"41.900034, -87.636967",47513,51294,0.024645886,0.054406163,0.004882874,0.002209921
60611,"41.893024, -87.618998",26522,69889,0.073259935,0.073900912,0.005995023,0.001809818
60612,"41.880500, -87.687967",37990,25143,0.006633325,9.583653593,0.018373256,0.012529613
60613,"41.958302, -87.660698",50548,48381,0.018536836,0.096739733,0.00678563,0.009852022
60614,"41.922667, -87.652537",65474,68324,0.026499068,0.122124813,0.008155909,0.010431622
60615,"41.801502, -87.603332",45096,31571,0.00536633,0.107282242,0.004723257,0.00523328
60616,"41.844977, -87.629846",47073,30625,0.012703673,0.116053789,0.008539927,0.006861683
60617,"41.718172, -87.555846",96288,35534,0.00263792,0.192599285,0.008786142,0.004569624
60618,"41.946755, -87.702861",98147,41355,0.010789938,0.162052839,0.011014091,0.01263411
60619,"41.743383, -87.605811",74963,33631,0.003334979,0.191961368,0.009231221,0.005629444
60620,"41.740481, -87.653749",85771,36334,0.001853773,0.188875028,0.008954075,0.009735225
60621,"41.776404, -87.640058",47514,19718,0.002104643,0.275097866,0.006334975,0.010291703
60622,"41.901894, -87.672630",76015,38487,0.017220285,0.120147339,0.007840558,0.011708215
60623,"41.847079, -87.719446",108144,28203,0.003171697,0.168284879,0.007305075,0.009422622
60624,"41.880048, -87.722352",45647,22426,0.002081188,0.255109865,0.006484544,0.011742283
60625,"41.973081, -87.699751",91351,40083,0.006206829,0.103140633,0.009786428,0.005976946
60626,"42.009340, -87.669902",59251,31318,0.007071611,0.068893352,0.002582235,0.008303657
60628,"41.692200, -87.617859",87827,38210,0.001354936,0.223427875,0.009404853,0.010236032
60629,"41.774690, -87.714185",113984,40279,0.001973961,0.129263756,0.010299691,0.008501193
60630,"41.972071, -87.756569",54781,47905,0.006735912,0.169201,0.020098209,0.01787116
60631,"41.994948, -87.813225",28832,55316,0.008636238,0.159475583,0.01911071,0.004959767
60632,"41.810213, -87.711761",87577,37406,0.004681594,0.166938808,0.010402275,0.007787433
60633,"41.661941, -87.557757",13262,40792,0.004297994,0.184361333,0.00995325,0.000754034
60634,"41.946189, -87.806117",74164,50042,0.006283372,0.149735721,0.011461086,0.014157812
60636,"41.775708, -87.669011",51451,27727,0.002293444,0.288060485,0.008007619,0.018094886
60637,"41.780673, -87.603500",57090,23228,0.002644947,0.144701349,0.006761254,0.004939569
60638,"41.783650, -87.770407",55788,45173,0.006488851,0.189180469,0.015594752,0.038502904
60639,"41.920639, -87.755793",92951,40165,0.004733677,0.118245097,0.010435606,0.008907919
60640,"41.972347, -87.663982",74030,32466,0.009388086,0.082344995,0.006794543,0.004862893
60641,"41.946466, -87.746971",73824,42182,0.005337018,0.145846879,0.010389575,0.013735371
60642,"41.903407,-87.675123",18480,101939,0.005573593,0.208549784,0.019264069,0.023106061
60643,"41.696894, -87.661375",52568,51305,0.003290975,0.232023284,0.01257419,0.007609192
60644,"41.880614, -87.756903",59059,26930,0.001490035,0.153507509,0.006366515,0.007314719
60645,"42.008406, -87.695793",44197,41438,0.002172093,0.116998891,0.008258479,0.015340408
60646,"41.992931, -87.760278",27016,58232,0.004848978,0.196994374,0.025873556,0.011733787
60647,"41.921117, -87.701899",98769,35283,0.014457978,0.149419352,0.00718849,0.015004708
60649,"41.763484, -87.570411",54823,27699,0.001586925,0.109771446,0.00527151,0.003374496
60651,"41.902029, -87.740432",77583,32622,0.001237384,0.134281995,0.007218076,0.010208422
60652,"41.746234, -87.711953",39126,53120,0.003067014,0.193119665,0.016536319,0.013827123
60653,"41.819722, -87.611809",34502,14205,0.003420092,0.169584372,0.004869283,0.005390992
60654,"41.8947071,-87.6464777",14875,112699,0.024134454,0.112672269,0.003495798,0.002890756
60655,"41.694722, -87.703687",29138,59849,0.004701764,0.16212506,0.015992862,0.011256778
60656,"41.973544, -87.830234",27129,47512,0.003907258,0.116259353,0.014670648,0.008441152
60657,"41.938964, -87.656811",66789,55647,0.02477953,0.120498885,0.005494917,0.015242031
60659,"41.991923, -87.704608",39155,45064,0.006563657,0.125424595,0.015400332,0.006155025
60660,"41.990561, -87.664706",47726,34293,0.0060554,0.08674517,0.010371705,0.007082094
60661,"41.882458, -87.643946",4382,54698,0.099954359,0.192834322,0.015289822,0.004564126
