STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude,Number,Street,City,State,County,Zip
30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,1,,,,,,,,1,,"(41.857908, -87.669147)",41.857983,-87.66925,1710,W 18th St,Chicago,IL,Cook County,60608
30161,E,18th (Loop-bound),18th,18th (Pink Line),40830,1,,,,,,,,1,,"(41.857908, -87.669147)",41.857983,-87.66925,1710,W 18th St,Chicago,IL,Cook County,60608
30022,N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,1,,,,,,,,,1,"(41.829353, -87.680622)",41.829416,-87.680513,3501,S Leavitt St,Chicago,IL,Cook County,60609
30023,S,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),40120,1,,,,,,,,,1,"(41.829353, -87.680622)",41.829416,-87.680513,3501,S Leavitt St,Chicago,IL,Cook County,60609
30214,S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,1,,,1,,,,,,,"(41.831677, -87.625826)",41.831942,-87.626129,3411,S State St,Chicago,IL,Cook County,60616
30213,N,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,1,,,1,,,,,,,"(41.831677, -87.625826)",41.831942,-87.626129,3411,S State St,Chicago,IL,Cook County,60616
30246,S,43rd (63rd-bound),43rd,43rd (Green Line),41270,1,,,1,,,,,,,"(41.816462, -87.619021)",41.816387,-87.619222,313,E 43rd St,Chicago,IL,Cook County,60653
30245,N,43rd (Harlem-bound),43rd,43rd (Green Line),41270,1,,,1,,,,,,,"(41.816462, -87.619021)",41.816387,-87.619222,313,E 43rd St,Chicago,IL,Cook County,60653
30025,S,51st (63rd-bound),51st,51st (Green Line),40130,1,,,1,,,,,,,"(41.80209, -87.618487)",41.801927,-87.618506,319,E 51st St,Chicago,IL,Cook County,60615
30024,N,51st (Harlem-bound),51st,51st (Green Line),40130,1,,,1,,,,,,,"(41.80209, -87.618487)",41.801927,-87.618506,319,E 51st St,Chicago,IL,Cook County,60615
30113,E,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),40580,1,,,,,,,,1,,"(41.85177331, -87.75669201)",41.851581,-87.756139,5240,W Cermak Rd,Cicero,IL,Cook County,60804
30114,W,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580,1,,,,,,,,1,,"(41.85177331, -87.75669201)",41.851581,-87.756139,5240,W Cermak Rd,Cicero,IL,Cook County,60804
30192,S,69th (95th-bound),69th,69th (Red Line),40990,1,1,,,,,,,,,"(41.768367, -87.625724)",41.768515,-87.625595,,I 94,Chicago,IL,Cook County,60621
30191,N,69th (Howard-bound),69th,69th (Red Line),40990,1,1,,,,,,,,,"(41.768367, -87.625724)",41.768515,-87.625595,,I 94,Chicago,IL,Cook County,60621
30047,S,79th (95th-bound),79th,79th (Red Line),40240,1,1,,,,,,,,,"(41.750419, -87.625112)",41.750524,-87.625241,,I 94,Chicago,IL,Cook County,60620
30046,N,79th (Howard-bound),79th,79th (Red Line),40240,1,1,,,,,,,,,"(41.750419, -87.625112)",41.750524,-87.625241,,I 94,Chicago,IL,Cook County,60620
30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,1,1,,,,,,,,,"(41.722377, -87.624342)",41.722378,-87.624345,,I 94,Chicago,IL,Cook County,60620
30088,N,95th/Dan Ryan (Howard-bound),95th/Ran Ryan,95th/Ran Ryan (Red Line),40450,1,1,,,,,,,,,"(41.722377, -87.624342)",41.722378,-87.624345,,I 94,Chicago,IL,Cook County,60620
30132,S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,,,,1,,,1,,1,1,"(41.879507, -87.626037)",41.879519,-87.626116,201,S Wabash Ave,Chicago,IL,Cook County,60604
30131,N,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,,,,1,1,,,,,,"(41.879507, -87.626037)",41.879519,-87.626116,201,S Wabash Ave,Chicago,IL,Cook County,60604
30277,N,Addison (Kimball-bound),Addison,Addison (Brown Line),41440,1,,,,1,,,,,,"(41.947028, -87.674642)",41.947099,-87.67462,1812,W Addison St,Chicago,IL,Cook County,60613
30278,S,Addison (Loop-bound),Addison,Addison (Brown Line),41440,1,,,,1,,,,,,"(41.947028, -87.674642)",41.947099,-87.67462,1812,W Addison St,Chicago,IL,Cook County,60613
30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,1,1,,,,,,,,,"(41.947428, -87.653626)",41.947495,-87.653631,940,W Addison St,Chicago,IL,Cook County,60613
30273,N,Addison (Howard-bound),Addison,Addison (Red Line),41420,1,1,,,,,,,,,"(41.947428, -87.653626)",41.947495,-87.653631,940,W Addison St,Chicago,IL,Cook County,60613
