ID,PIN,Address,Managing Organization,Property Status,Date of Acquisition,Date of Disposition,Sq. Ft.,Ward,Community Area Number,Community Area Name,Zoning Classification,Zip Code,Last Update,X Coordinate,Y Coordinate,Latitude,Longitude,Location
58815,16-11-400-017-0000,3500 W CARROLL AVE,None,Owned by City,7/15/1981,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1152902.306,1902237.065,41.8875918,-87.7139511,"(41.88759182577772, -87.71395114919792)"
35153,16-11-404-026-0000,3452 W FULTON BLVD,None,Owned by City,,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1153085.534,1901901.079,41.8866662,-87.7132872,"(41.88666621647711, -87.71328718971881)"
58819,16-11-223-003-0000,545 N SAWYER AVE,None,Owned by City,11/23/1981,,0,27,23,HUMBOLDT PARK,RT-4,60624,3/5/2019,1154679.818,1903728.089,41.8916479,-87.7073836,"(41.891647948878486, -87.7073835963769)"
9113,16-11-223-004-0000,543 N SAWYER AVE,None,Owned by City,,,0,27,23,HUMBOLDT PARK,RT-4,60624,3/5/2019,1154680.404,1903709.119,41.8915959,-87.707382,"(41.89159588263886, -87.70738195333543)"
58378,16-11-223-031-0000,524 N KEDZIE AVE,None,Owned by City,9/25/1972,,0,27,23,HUMBOLDT PARK,RT-4,60612,3/5/2019,1154847.88,1903528.22,41.8910961,-87.7067717,"(41.89109612343577, -87.70677174055119)"
9234,16-11-407-050-0000,3400 W WALNUT ST,None,Owned by City,,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1153625.329,1901553.982,41.885703,-87.7113142,"(41.88570302667234, -87.71131415180186)"
9154,16-11-400-016-0000,344 N ST LOUIS AVE,None,Owned by City,,,0,28,27,EAST GARFIELD PARK,RT-4,0,3/5/2019,1152901.033,1902279.285,41.8877077,-87.7139547,"(41.88770770786226, -87.71395470386459)"
34184,16-12-107-012-0000,519 N TROY ST,None,Owned by City,,,0,27,23,HUMBOLDT PARK,RS-3,0,3/5/2019,1155377.7,1903477.48,41.8909463,-87.7048273,"(41.89094625538186, -87.70482732528573)"
9233,16-11-407-049-0000,3402 W WALNUT ST,None,Owned by City,,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1153600.711,1901553.828,41.8857031,-87.7114046,"(41.88570309480532, -87.71140456017673)"
9258,16-11-410-016-0000,3423 W WALNUT ST,None,Owned by City,,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1153391.601,1901384.313,41.8852421,-87.712177,"(41.88524208240902, -87.71217696530321)"
9401,16-12-108-011-0000,529 N ALBANY AVE,None,Owned by City,,,0,27,23,HUMBOLDT PARK,RS-3,60612,8/1/2018,1155729.947,1903546.745,41.8911292,-87.7035318,"(41.89112923730325, -87.70353182765865)"
9182,16-11-404-040-0000,3414 W FULTON BLVD,None,Owned by City,,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1153461.9,1901910.735,41.8866852,-87.7119048,"(41.88668524166461, -87.71190481415266)"
9402,16-12-108-012-0000,525 N ALBANY AVE,None,Owned by City,,,0,27,23,HUMBOLDT PARK,RS-3,60612,5/22/2018,1155730.658,1903522.755,41.8910634,-87.7035299,"(41.89106339142717, -87.70352986059625)"
9393,16-12-107-023-0000,524 N ALBANY AVE,None,Owned by City,,,0,27,23,HUMBOLDT PARK,RS-3,60612,1/13/2020,1155518.305,1903530.56,41.8910891,-87.7043095,"(41.891089084952476, -87.70430952370496)"
15148,20-03-407-023-0000,431 E 44TH ST,None,Owned by City,,,0,3,38,GRAND BOULEVARD,RM-5,60653,5/22/2018,1180033.939,1875848.147,41.8145983,-87.6151267,"(41.81459834701475, -87.6151267117128)"
