Zip,Num_Rests
60601,182
60602,80
60603,112
60604,81
60605,176
60606,190
60607,343
60608,427
60609,212
60610,219
60611,354
60612,183
60613,261
60614,412
60615,122
60616,288
60617,218
60618,388
60619,171
60620,181
60621,86
60622,380
60623,247
60624,100
60625,334
60626,198
60628,165
60629,244
60630,166
60631,99
60632,306
60633,20
60634,217
60636,96
60637,116
60638,167
60639,296
60640,328
60641,202
60642,147
60643,164
60644,120
60645,103
60646,85
60647,431
60649,108
60651,168
60652,115
60653,82
60654,310
60655,54
60656,51
60657,442
60659,254
60660,181
60661,173
60666,114
60707,67
60805,1
60827,10
