long_date,Zip,total_num_crimes,total_num_noise,month_year,Full_date,short_date,zip_code,city_state,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
01/1/2016,9020,0,0,,,,,,,,,,,,,
01/1/2016,60068,0,0,,,,,,,,,,,,,
01/1/2016,60176,0,0,,,,,,,,,,,,,
01/1/2016,60202,1,1,,,,,,,,,,,,,
01/1/2016,60302,9,9,,,,,,,,,,,,,
01/1/2016,60459,1,1,,,,,,,,,,,,,
01/1/2016,60602,42,42,,,,,,,,,,,,,
01/1/2016,60605,3,3,,,,,,,,,,,,,
01/1/2016,60607,7,7,,,,,,,,,,,,,
01/1/2016,60608,20,20,,,,,,,,,,,,,
01/1/2016,60609,8,8,,,,,,,,,,,,,
01/1/2016,60610,39,39,,,,,,,,,,,,,
01/1/2016,60611,18,18,,,,,,,,,,,,,
01/1/2016,60612,10,10,,,,,,,,,,,,,
01/1/2016,60613,12,12,,,,,,,,,,,,,
01/1/2016,60614,34,34,,,,,,,,,,,,,
01/1/2016,60615,2,2,,,,,,,,,,,,,
01/1/2016,60616,7,7,,,,,,,,,,,,,
01/1/2016,60617,11,11,,,,,,,,,,,,,
01/1/2016,60618,36,36,,,,,,,,,,,,,
01/1/2016,60619,12,12,,,,,,,,,,,,,
01/1/2016,60620,13,13,,,,,,,,,,,,,
01/1/2016,60621,8,8,,,,,,,,,,,,,
01/1/2016,60622,25,25,,,,,,,,,,,,,
01/1/2016,60623,23,23,,,,,,,,,,,,,
01/1/2016,60624,16,16,,,,,,,,,,,,,
01/1/2016,60625,14,14,,,,,,,,,,,,,
01/1/2016,60626,2,2,,,,,,,,,,,,,
01/1/2016,60628,9,9,,,,,,,,,,,,,
01/1/2016,60629,8,8,,,,,,,,,,,,,
01/1/2016,60630,12,12,,,,,,,,,,,,,
01/1/2016,60631,5,5,,,,,,,,,,,,,
01/1/2016,60632,18,18,,,,,,,,,,,,,
01/1/2016,60633,1,1,,,,,,,,,,,,,
01/1/2016,60634,13,13,,,,,,,,,,,,,
01/1/2016,60636,14,14,,,,,,,,,,,,,
01/1/2016,60637,26,26,,,,,,,,,,,,,
01/1/2016,60638,8,8,,,,,,,,,,,,,
01/1/2016,60639,9,9,,,,,,,,,,,,,
