long_date,Zip,permit_count
01/1/2017,60605,5
01/1/2017,60607,13
01/1/2017,60608,18
01/1/2017,60609,13
01/1/2017,60610,43
01/1/2017,60611,12
01/1/2017,60612,15
01/1/2017,60613,13
01/1/2017,60614,34
01/1/2017,60615,11
01/1/2017,60616,12
01/1/2017,60617,10
01/1/2017,60618,29
01/1/2017,60619,17
01/1/2017,60620,12
01/1/2017,60621,5
01/1/2017,60622,28
01/1/2017,60623,20
01/1/2017,60624,33
01/1/2017,60625,25
01/1/2017,60626,4
01/1/2017,60628,13
01/1/2017,60629,13
01/1/2017,60630,10
01/1/2017,60632,12
01/1/2017,60633,2
01/1/2017,60634,18
01/1/2017,60636,12
01/1/2017,60637,19
01/1/2017,60638,7
01/1/2017,60639,12
01/1/2017,60640,10
01/1/2017,60641,16
01/1/2017,60642,8
01/1/2017,60643,10
01/1/2017,60644,6
01/1/2017,60645,3
01/1/2017,60646,4
01/1/2017,60647,44
01/1/2017,60649,15
01/1/2017,60651,17
01/1/2017,60652,3
01/1/2017,60653,7
01/1/2017,60654,5
01/1/2017,60655,13
01/1/2017,60656,8
01/1/2017,60657,12
01/1/2017,60659,5
01/1/2017,60660,9
01/1/2017,60661,23
01/1/2018,60605,3
01/1/2018,60607,16
01/1/2018,60608,15
01/1/2018,60609,8
01/1/2018,60610,35
01/1/2018,60611,8
01/1/2018,60612,12
01/1/2018,60613,13
01/1/2018,60614,42
01/1/2018,60615,5
01/1/2018,60616,12
01/1/2018,60617,14
01/1/2018,60618,26
01/1/2018,60619,16
01/1/2018,60620,17
01/1/2018,60621,3
01/1/2018,60622,18
01/1/2018,60624,14
01/1/2018,60625,27
01/1/2018,60626,3
01/1/2018,60628,11
01/1/2018,60629,15
01/1/2018,60630,10
01/1/2018,60631,7
01/1/2018,60632,13
01/1/2018,60633,1
01/1/2018,60634,5
01/1/2018,60636,11
01/1/2018,60637,18
01/1/2018,60638,7
01/1/2018,60639,12
01/1/2018,60640,7
01/1/2018,60641,8
01/1/2018,60642,6
01/1/2018,60643,12
01/1/2018,60644,7
01/1/2018,60645,6
01/1/2018,60646,3
01/1/2018,60647,48
01/1/2018,60649,11
01/1/2018,60651,19
01/1/2018,60652,4
01/1/2018,60653,4
01/1/2018,60654,7
01/1/2018,60655,8
01/1/2018,60656,3
01/1/2018,60657,17
01/1/2018,60659,5
01/1/2018,60660,6
01/1/2018,60661,30
01/1/2019,60602,32
01/1/2019,60605,8
01/1/2019,60607,20
