ZIP_CODE,311-_Rat
60638,2148
60647,1482
60618,1240
60634,1050
60623,1019
60657,1018
60641,1014
60630,979
60629,969
60636,931
60609,912
60628,899
60622,890
60620,835
60639,828
60651,792
60614,683
60632,682
60645,678
60608,662
60625,546
60652,541
60624,536
60613,498
60626,492
60621,489
60612,476
60617,440
60644,432
60642,427
60619,422
60643,400
60640,360
60660,338
60655,328
60616,323
60646,317
60637,282
60607,248
60659,241
60615,236
60656,229
60653,186
60649,185
60707,159
60631,143
60610,105
60605,99
60611,48
60654,43
60661,20
60606,12
60633,10
60604,9
60602,9
60827,7
60601,6
60603,5
60666,1
