month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
202010,60601,"chicago, il",519050,286,71,56,446.3687151,1225,837750,489
202009,60601,"chicago, il",519550,280,55.5,64,453.4377289,1234.5,846010,489
202008,60601,"chicago, il",539050,252,45,96,465.625,1225,883507,465
202007,60601,"chicago, il",530000,222,56,104,467.6594032,1225,870200,430
202006,60601,"chicago, il",520733.5,202,52.5,56,483.5867621,1220,878951,401
202005,60601,"chicago, il",549550,181,67,56,498.4126984,1225,909996,382
202004,60601,"chicago, il",532450,150,68.5,24,465.4440154,1209,794936,352
202003,60601,"chicago, il",592550,161,58.5,44,481.5934066,1225,988118,383
202002,60601,"chicago, il",555050,160,89,52,483.6363636,1225,1093960,383
202001,60601,"chicago, il",595050,150,118.5,48,484.7878788,1247,1139512,358
201912,60601,"chicago, il",550049.5,161,108,12,471.7095427,1244,1072512,368
201911,60601,"chicago, il",538938,181,91,36,452.8853178,1227,1013264,389
201910,60601,"chicago, il",549549.5,187,80.5,40,454.7759922,1225,1024349,391
201909,60601,"chicago, il",554050,190,78.5,36,465.7086868,1225,1033958,397
201908,60601,"chicago, il",567764.2857,197,65,40,478.4139379,1226.142857,1055406,406
201907,60601,"chicago, il",579550,200,52.5,52,484.3213845,1247,1064012,409
201906,60601,"chicago, il",570050,189,45,68,476.6881029,1225,981518,398
201905,60601,"chicago, il",596550,196,68.5,64,507.5454545,1250,1050451,406
201904,60601,"chicago, il",598050,182,66.5,48,487.4964163,1244,1039449,400
201903,60601,"chicago, il",599192.8571,176,63,36,497.6457494,1244,1058268,390
201902,60601,"chicago, il",600050,170,97.5,56,520.5198358,1247,1086337,382
201901,60601,"chicago, il",677500,143,131,52,553.1811036,1299.5,1158378,357
201812,60601,"chicago, il",625050,167,106,16,491.2280702,1250,1079498,363
201811,60601,"chicago, il",627500,178,95,28,485.160473,1262.5,1040951,369
201810,60601,"chicago, il",632500,176,88,36,491.7719577,1288,1053227,370
201809,60601,"chicago, il",635050,168,92,56,505.6270096,1299,1081666,378
201808,60601,"chicago, il",650000,171,83,36,509.375,1300,1083064,381
201807,60601,"chicago, il",658550,166,83,40,527.5974026,1300,1157498,372
201806,60601,"chicago, il",684950,174,71,40,531.7258883,1299,1204697,369
201805,60601,"chicago, il",682550,168,58.5,52,530.8335324,1247,1051797,361
