lat,lng,detail,Zip
41.92,-87.67,"{'road': 'North Elston Avenue', 'neighbourhood': 'Logan Square', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '606476', 'country': 'United States of America', 'country_code': 'us'}",60647
42,-87.71,"{'house_number': '6519-6525', 'road': 'North Kedzie Avenue', 'neighbourhood': 'West Ridge', 'village': 'Lincolnwood', 'municipality': 'Niles Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60712-2716', 'country': 'United States of America', 'country_code': 'us'}",60712
41.89,-87.7,"{'amenity': 'Recycling Drop-Off Center', 'road': 'West Ferdinand Street', 'neighbourhood': 'Humboldt Park', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60622-4580', 'country': 'United States of America', 'country_code': 'us'}",60622
41.7,-87.53,"{'house_number': '10729', 'road': 'South Avenue F', 'neighbourhood': 'East Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '46394', 'country': 'United States of America', 'country_code': 'us'}",46394
42,-87.94,"{'house_number': '1869', 'road': 'South Elmhurst Road', 'neighbourhood': ""O'Hare"", 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60007', 'country': 'United States of America', 'country_code': 'us'}",60007
42,-87.89,"{'house_number': '10700', 'road': 'West Higgins Road', 'village': 'Rosemont', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60018', 'country': 'United States of America', 'country_code': 'us'}",60018
42.02,-87.82,"{'house_number': '130', 'road': 'Joyce Place', 'town': 'Park Ridge', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60068', 'country': 'United States of America', 'country_code': 'us'}",60068
41.99,-87.84,"{'house_number': '1109', 'road': 'Glenlake Avenue', 'town': 'Park Ridge', 'municipality': 'Norwood Park Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60068', 'country': 'United States of America', 'country_code': 'us'}",60068
41.99,-87.85,"{'road': 'Des Plaines River Trail', 'town': 'Park Ridge', 'municipality': 'Leyden Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60068', 'country': 'United States of America', 'country_code': 'us'}",60068
41.99,-87.83,"{'house_number': '473', 'road': 'Glenlake Avenue', 'town': 'Park Ridge', 'municipality': 'Norwood Park Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60068', 'country': 'United States of America', 'country_code': 'us'}",60068
42.01,-87.91,"{'road': 'Jane Addams Memorial Tollway', 'town': 'Des Plaines', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60124', 'country': 'United States of America', 'country_code': 'us'}",60124
41.95,-87.89,"{'house_number': '10528', 'road': 'Seymour Avenue', 'neighbourhood': ""O'Hare"", 'town': 'Franklin Park', 'municipality': 'Leyden Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60131', 'country': 'United States of America', 'country_code': 'us'}",60131
41.95,-87.91,"{'road': 'Taft Avenue', 'neighbourhood': ""O'Hare"", 'city': 'Chicago', 'municipality': 'Leyden Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60132', 'country': 'United States of America', 'country_code': 'us'}",60132
41.98,-87.85,"{'tourism': 'Catherine Chevalier Woods Picnic Shelter Grove 2', 'road': 'Des Plaines River Trail', 'neighbourhood': ""O'Hare"", 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60176', 'country': 'United States of America', 'country_code': 'us'}",60176
41.97,-87.87,"{'house_number': '5000', 'road': 'Harold Avenue', 'hamlet': 'Riverview', 'town': 'Schiller Park', 'municipality': 'Leyden Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60176', 'country': 'United States of America', 'country_code': 'us'}",60176
41.95,-87.84,"{'aeroway': 'Schiller Model Airplane Flying Field', 'road': 'West Irving Park Road', 'neighbourhood': ""O'Hare"", 'town': 'Schiller Park', 'municipality': 'Leyden Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60176', 'country': 'United States of America', 'country_code': 'us'}",60176
41.97,-87.85,"{'road': 'Des Plaines Blue Unpaved Trail', 'neighbourhood': ""O'Hare"", 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60176', 'country': 'United States of America', 'country_code': 'us'}",60176
42.02,-87.69,"{'amenity': 'CVS Pharmacy', 'house_number': '101', 'road': 'Asbury Avenue', 'city': 'Evanston', 'municipality': 'Evanston Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60202', 'country': 'United States of America', 'country_code': 'us'}",60202
42.02,-87.7,"{'house_number': '120', 'road': 'Dodge Avenue', 'city': 'Evanston', 'municipality': 'Evanston Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60202', 'country': 'United States of America', 'country_code': 'us'}",60202
42.02,-87.68,"{'house_number': '117', 'road': 'Custer Avenue', 'city': 'Evanston', 'municipality': 'Evanston Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60202', 'country': 'United States of America', 'country_code': 'us'}",60202
42.02,-87.71,"{'house_number': '3200', 'road': 'West Howard Street', 'town': 'Skokie', 'municipality': 'Niles Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60202', 'country': 'United States of America', 'country_code': 'us'}",60202
41.91,-87.71,"{'house_number': '3301-3329', 'road': 'West North Avenue', 'neighbourhood': 'Humboldt Park', 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.91,-87.69,"{'house_number': '2507', 'road': 'West North Avenue', 'neighbourhood': 'West Town', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.91,-87.76,"{'house_number': '5346', 'road': 'West North Avenue', 'police_beat': 'Beat 2532', 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.91,-87.75,"{'house_number': '4918-4926', 'road': 'West North Avenue', 'police_beat': 'Beat 2523', 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.91,-87.7,"{'amenity': 'Saint Lukes United Church of Christ', 'road': 'West North Avenue', 'neighbourhood': 'West Town', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.91,-87.74,"{'house_number': '4534-4540', 'road': 'West North Avenue', 'police_beat': 'Beat 2523', 'city': 'Chicago', 'municipality': 'Jefferson Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.9,-87.78,"{'house_number': '199', 'road': 'Thomas Street', 'town': 'Oak Park', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60302', 'country': 'United States of America', 'country_code': 'us'}",60302
41.8,-87.79,"{'road': 'West 51st Street', 'neighbourhood': 'Garfield Ridge', 'city': 'Chicago', 'municipality': 'Stickney Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60402', 'country': 'United States of America', 'country_code': 'us'}",60402
41.68,-87.69,"{'road': 'West 119th Street', 'neighbourhood': 'Morgan Park', 'village': 'Merrionette Park', 'municipality': 'Worth Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60406', 'country': 'United States of America', 'country_code': 'us'}",60406
41.7,-87.56,"{'house_number': '10732', 'road': 'South Torrence Avenue', 'neighbourhood': 'South Deering', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60409', 'country': 'United States of America', 'country_code': 'us'}",60409
41.67,-87.56,"{'man_made': 'Sidestream Elevated Pool Aeration (SEPA) Station 1', 'road': 'South Torrence Avenue', 'neighbourhood': 'Hegewisch', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60409', 'country': 'United States of America', 'country_code': 'us'}",60409
41.64,-87.57,"{'road': 'East 142nd Street', 'town': 'Calumet City', 'municipality': 'Thornton Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60409', 'country': 'United States of America', 'country_code': 'us'}",60409
41.66,-87.56,"{'house_number': '12600-12644', 'road': 'South Torrence Avenue', 'neighbourhood': 'Hegewisch', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60409', 'country': 'United States of America', 'country_code': 'us'}",60409
41.73,-87.74,"{'house_number': '4730', 'road': 'West 89th Place', 'village': 'Hometown', 'municipality': 'Worth Township', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60456', 'country': 'United States of America', 'country_code': 'us'}",60456
41.79,-87.76,"{'aeroway': 'West ramp', 'road': 'South Central Avenue', 'neighbourhood': 'Clearing', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60459', 'country': 'United States of America', 'country_code': 'us'}",60459
